Name,ra,dec,epoch,mu_acosd,mu_d,b,r,i,d_H,vt_H,Mbol_H,w_H,d_He,vt_He,Mbol_He,w_He
SSSJ223648.1-443135,339.2004,-44.5265,1990.785,-5.9,-166.0,19.949,18.825,18.442,71.5,56.3,14.8,0.53,80.7,63.5,14.7,0.47
SSSJ223653.1-495824,339.2211,-49.9733,1995.65,89.7,-117.7,21.013,19.51,18.888,55.6,39.0,16.1,0.35,81.3,57.1,15.2,0.65
SSSJ223656.8+774109,339.2367,77.6859,1989.51,53.7,35.1,18.38,18.26,18.009,159.9,48.6,11.9,1.0,151.8,46.1,12.0,0.0
SSSJ223731.5-355640,339.3814,-35.9445,1987.062,-46.2,-23.7,18.786,18.798,18.92,321.4,79.0,9.9,1.0,318.1,78.2,10.2,0.0
SSSJ223738.6+320649,339.4107,32.1137,1991.708,34.2,-105.9,19.243,18.778,18.238,108.6,57.2,13.6,1.0,109.1,57.4,13.7,0.0
SSSJ223753.1-210228,339.4712,-21.0412,1985.537,45.6,-40.9,18.476,18.346,18.404,216.7,62.9,11.0,1.0,203.6,59.1,11.2,0.0
SSSJ223755.8-224712,339.4826,-22.7867,1995.793,122.3,-153.6,19.669,18.564,18.045,58.2,54.1,14.9,0.54,67.5,62.7,14.7,0.46
SSSJ223756.7-224714,339.4862,-22.7872,1995.793,119.4,-146.5,19.576,18.513,18.194,68.3,61.2,14.6,0.56,74.4,66.6,14.5,0.44
SSSJ223816.9-213916,339.5703,-21.6545,1991.82,55.4,-71.4,19.595,19.215,18.498,124.0,52.9,13.7,1.0,124.3,53.0,13.7,0.0
SSSJ223848.6-543242,339.7024,-54.5451,1986.792,-39.7,-42.6,18.8,18.33,17.91,95.4,26.3,13.4,1.0,96.1,26.5,13.5,0.0
SSSJ223854.5-553660,339.727,-55.6166,1988.848,77.0,-2.6,19.042,18.098,17.764,62.0,22.6,14.4,0.6,65.4,23.9,14.4,0.4
SSSJ223859.3-151423,339.747,-15.2397,1991.546,119.5,-54.3,17.511,17.312,17.059,93.0,57.8,12.2,1.0,90.0,55.9,12.3,0.0
SSSJ223909.8-185811,339.7908,-18.9696,1986.14,22.1,-67.9,18.395,18.209,17.975,145.9,49.4,12.1,1.0,140.1,47.4,12.2,0.0
SSSJ223910.2-001155,339.7924,-0.1986,1988.61,83.2,-63.7,18.994,18.535,18.13,107.9,53.7,13.4,1.0,108.6,54.0,13.5,0.0
SSSJ223929.3+105243,339.8721,10.8787,1986.686,44.1,-42.2,20.218,19.368,19.02,119.0,34.5,14.2,0.62,123.1,35.6,14.2,0.38
SSSJ223932.1+370241,339.8839,37.0447,1988.532,128.1,31.5,18.278,18.627,18.682,468.9,293.4,7.3,1.0,456.8,285.8,7.0,0.0
SSSJ223942.7-643916,339.9281,-64.6544,1996.683,-141.9,-15.3,18.457,17.967,17.627,84.6,57.3,13.4,1.0,85.2,57.7,13.4,0.0
SSSJ223944.2-770002,339.9343,-77.0006,1993.772,66.7,-47.0,18.41,18.076,18.053,140.9,54.8,12.2,1.0,135.6,52.7,12.3,0.0
SSSJ223945.5-303006,339.9395,-30.5017,1987.254,68.5,-11.8,18.522,18.498,18.442,234.2,77.1,10.8,1.0,222.1,73.2,11.1,0.0
SSSJ223950.4+273429,339.9601,27.5747,1990.081,32.4,43.4,19.964,18.976,18.695,92.8,23.8,14.4,0.58,97.9,25.1,14.4,0.42
SSSJ223954.1-533622,339.9754,-53.606,1987.752,62.8,-13.7,18.983,18.488,18.612,161.2,49.1,12.5,1.0,156.5,47.7,12.6,0.0
SSSJ223959.3-360631,339.997,-36.1086,1988.616,67.9,-18.6,19.289,19.255,19.019,288.4,96.3,11.5,1.0,271.1,90.5,11.6,0.0
SSSJ224011.3-030316,340.0469,-3.0546,1989.806,-205.3,-210.7,18.934,17.763,17.424,43.6,60.8,14.9,0.51,49.7,69.2,14.7,0.49
SSSJ224013.6+044907,340.0568,4.8186,1988.136,42.5,-24.7,17.687,17.814,17.997,254.3,59.3,8.7,1.0,275.5,64.2,8.6,0.0
SSSJ224017.6-363734,340.0732,-36.626,1988.969,65.5,-14.6,19.347,19.011,18.872,192.6,61.3,12.5,1.0,188.8,60.1,12.6,0.0
SSSJ224020.5-275743,340.0856,-27.962,1995.782,-69.6,-72.0,19.086,17.95,17.604,48.8,23.1,14.8,0.53,54.8,26.0,14.7,0.47
SSSJ224044.7-782946,340.1863,-78.4961,1992.575,210.4,-82.4,17.993,17.722,17.536,109.9,117.8,12.3,1.0,107.1,114.7,12.4,0.0
SSSJ224101.2-200607,340.2549,-20.102,1991.82,162.7,-66.0,19.39,18.767,18.486,114.0,95.1,13.6,1.0,115.0,95.9,13.7,0.0
SSSJ224105.9-190260,340.2746,-19.0499,1991.82,82.0,-101.0,20.895,19.266,18.839,39.2,24.1,17.0,0.28,75.6,46.6,15.2,0.72
SSSJ224109.6+135014,340.2901,13.8371,1986.956,55.1,2.7,17.963,18.157,18.0,228.8,59.8,9.8,1.0,226.9,59.3,10.1,0.0
SSSJ224114.6-615742,340.3109,-61.9617,1995.659,-142.4,-9.9,20.009,18.672,18.017,44.4,30.1,15.6,0.43,59.4,40.2,15.1,0.57
SSSJ224117.5-550418,340.3228,-55.0715,1987.189,-32.6,-66.0,19.595,19.169,19.092,195.2,68.1,12.7,1.0,193.9,67.6,12.8,0.0
SSSJ224130.0-734846,340.375,-73.8129,1996.777,95.9,-84.4,18.313,18.058,17.881,132.3,80.3,12.2,1.0,128.2,77.8,12.4,0.0
SSSJ224142.9+460908,340.4286,46.1523,1984.325,-49.3,-13.5,18.542,18.248,18.228,161.3,39.0,12.0,1.0,153.3,37.1,12.2,0.0
SSSJ224143.1+080148,340.4296,8.03,1990.64,125.8,-8.5,18.906,18.263,18.109,97.4,58.2,13.5,1.0,98.1,58.6,13.5,0.0
SSSJ224143.4+082512,340.4309,8.4201,1990.64,66.3,-77.3,16.417,16.723,16.678,156.3,75.6,8.3,1.0,168.1,81.3,7.7,0.0
SSSJ224144.0-194042,340.4334,-19.6784,1991.82,356.9,57.9,20.055,19.292,18.896,119.8,205.6,14.1,1.0,121.9,209.2,14.1,0.0
SSSJ224145.4-320405,340.4391,-32.0681,1995.782,-146.8,-32.7,19.0,18.181,17.653,61.8,44.0,14.4,0.63,64.9,46.2,14.4,0.37
SSSJ224150.4+193626,340.4601,19.6072,1989.059,43.4,1.7,18.314,18.133,17.579,103.0,21.2,12.8,1.0,102.4,21.1,12.9,0.0
SSSJ224153.3+043300,340.4722,4.55,1991.772,118.2,-198.1,18.513,17.801,17.458,65.3,71.5,13.9,1.0,65.8,72.1,14.0,0.0
SSSJ224159.2-252025,340.4968,-25.3404,1995.793,56.8,-73.8,19.45,19.036,18.982,192.7,84.9,12.6,1.0,189.6,83.6,12.7,0.0
SSSJ224206.1+004824,340.5252,0.8066,1988.61,127.5,-66.5,19.787,18.328,17.695,33.9,23.2,16.0,0.38,47.9,32.7,15.2,0.62
SSSJ224214.5-342833,340.5604,-34.4758,1996.613,18.2,-78.3,19.278,18.886,18.777,174.9,66.3,12.6,1.0,172.7,65.5,12.7,0.0
SSSJ224214.9-052933,340.5621,-5.4926,1983.483,-12.1,-46.1,18.595,18.619,18.608,267.7,60.5,10.4,1.0,258.8,58.5,10.6,0.0
SSSJ224227.0-364903,340.6126,-36.8174,1996.613,93.0,-61.8,20.809,19.621,18.969,79.0,42.0,15.3,0.5,98.3,52.2,14.9,0.5
SSSJ224228.4+140301,340.6182,14.0502,1991.706,122.9,-9.9,17.723,17.564,17.286,107.2,62.5,12.1,1.0,103.0,60.0,12.2,0.0
SSSJ224230.4+125003,340.6265,12.8342,1991.706,-38.1,-78.4,16.3,16.521,16.704,165.0,68.0,7.8,1.0,175.4,72.3,7.2,0.0
SSSJ224231.2+125006,340.6299,12.8349,1991.706,-34.3,-75.1,15.831,16.248,16.382,228.5,89.9,5.2,1.0,155.4,61.1,7.0,0.0
SSSJ224243.5+183247,340.6811,18.5465,1990.79,150.4,-20.3,19.882,18.306,17.425,27.8,20.0,16.5,0.32,38.8,28.0,15.4,0.68
SSSJ224246.2-060253,340.6924,-6.048,1983.395,55.1,-34.2,18.172,18.085,18.05,186.2,57.2,11.1,1.0,174.7,53.7,11.3,0.0
SSSJ224304.9-012751,340.7703,-1.4643,1988.61,-126.2,-177.3,16.356,16.132,15.897,53.5,55.3,12.3,1.0,52.1,53.8,12.4,0.0
SSSJ224312.3-420119,340.8012,-42.0219,1990.725,61.3,-57.3,17.11,17.102,17.035,123.5,49.2,10.8,1.0,117.5,46.8,11.0,0.0
SSSJ224316.1-143825,340.8171,-14.6404,1983.602,-36.0,-61.9,18.738,18.227,18.233,124.3,42.2,12.8,1.0,124.0,42.1,12.9,0.0
SSSJ224321.1-040339,340.8379,-4.0609,1983.766,-25.5,-40.5,18.052,18.188,17.97,204.1,46.3,10.5,1.0,198.1,45.0,10.7,0.0
SSSJ224324.9-262260,340.8539,-26.3832,1995.793,76.5,-28.0,15.91,16.025,16.101,97.3,37.4,9.4,1.0,101.3,38.9,9.5,0.0
SSSJ224325.4-030450,340.856,-3.0805,1989.806,-72.9,-92.9,17.394,17.427,17.471,163.6,91.5,10.1,1.0,159.9,89.4,10.4,0.0
SSSJ224326.3-480101,340.8595,-48.0169,1995.65,41.4,-131.8,19.65,18.566,18.256,69.1,45.2,14.7,0.55,75.6,49.4,14.6,0.45
SSSJ224356.1-480303,340.9836,-48.0507,1995.65,126.2,-48.9,18.63,18.223,18.16,132.2,84.6,12.6,1.0,130.1,83.3,12.7,0.0
SSSJ224404.0+201139,341.0166,20.1942,1990.79,139.0,1.7,18.003,17.688,17.47,99.2,65.4,12.6,1.0,98.0,64.5,12.7,0.0
SSSJ224407.8-573315,341.0325,-57.5541,1987.846,-53.7,-3.8,18.282,18.127,18.021,166.2,42.4,11.6,1.0,155.2,39.6,11.8,0.0
SSSJ224413.1-385648,341.0546,-38.9467,1983.579,-4.1,-65.1,19.144,18.502,18.204,98.3,30.4,13.7,1.0,99.1,30.6,13.8,0.0
SSSJ224415.5+165334,341.0644,16.8927,1991.706,-46.9,-105.1,18.305,18.083,17.892,137.6,75.0,12.1,1.0,132.4,72.2,12.3,0.0
SSSJ224435.8+125013,341.149,12.837,1986.914,30.1,-37.4,17.56,17.957,18.136,526.2,119.8,4.9,1.0,338.9,77.1,7.0,0.0
