Name,ra,dec,epoch,mu_acosd,mu_d,b,r,i,d_H,vt_H,Mbol_H,w_H,d_He,vt_He,Mbol_He,w_He
SSSJ022634.6-221420,36.6442,-22.239,1996.8,34.5,-130.9,18.322,18.576,18.671,402.0,257.2,8.0,1.0,428.9,274.5,7.4,0.0
SSSJ022704.5+775714,36.7686,77.9539,1993.722,313.7,-68.9,17.148,15.873,15.279,13.6,20.7,15.4,0.46,17.1,26.1,15.0,0.54
SSSJ022705.9-471302,36.7744,-47.2173,1982.402,38.8,55.3,17.95,17.765,17.572,124.2,39.8,12.0,1.0,118.4,37.9,12.1,0.0
SSSJ022720.4+271744,36.8351,27.2957,1991.761,110.9,24.0,19.653,18.533,17.69,43.6,23.3,15.4,0.53,55.1,29.5,14.9,0.47
SSSJ022723.3+112248,36.8469,11.3799,1991.772,160.3,-54.0,17.954,17.873,17.607,137.7,110.3,11.7,1.0,129.4,103.7,11.9,0.0
SSSJ022727.8+315849,36.8658,31.9803,1989.745,76.7,-35.8,17.659,17.673,17.815,196.2,79.1,9.8,1.0,195.0,78.6,10.1,0.0
SSSJ022729.2+392721,36.8718,39.4559,1988.474,-15.3,-29.7,18.849,18.551,18.323,149.5,23.7,12.5,1.0,147.7,23.4,12.6,0.0
SSSJ022729.3-442307,36.8721,-44.3852,1990.733,241.5,-239.3,20.338,19.065,18.567,64.1,103.3,15.3,0.46,79.0,127.3,14.9,0.54
SSSJ022730.5-035435,36.8771,-3.9098,1984.999,-2.4,-60.9,18.866,18.266,18.015,94.4,27.3,13.5,1.0,95.2,27.5,13.6,0.0
SSSJ022732.1-201817,36.8835,-20.3047,1988.781,51.7,-31.1,18.478,18.271,18.102,156.5,44.7,12.0,1.0,149.8,42.8,12.2,0.0
SSSJ022736.5+192424,36.9023,19.4068,1990.785,122.8,-88.8,17.836,17.769,17.625,149.6,107.8,11.3,1.0,139.9,100.8,11.5,0.0
SSSJ022740.4-353025,36.9184,-35.507,1999.632,95.0,-67.8,20.093,19.168,18.512,80.8,44.8,14.7,0.6,90.5,50.2,14.6,0.4
SSSJ022744.6+241833,36.9356,24.3092,1991.761,156.1,32.5,17.391,17.309,17.073,109.4,82.4,11.7,1.0,102.3,77.1,11.8,0.0
SSSJ022748.9+490420,36.9536,49.0723,1983.536,1.3,-44.3,19.825,19.282,18.793,133.1,27.9,13.7,1.0,133.5,28.0,13.8,0.0
SSSJ022753.0+464726,36.971,46.7905,1980.251,-25.7,-52.4,20.669,19.713,18.906,89.6,24.8,15.0,0.59,105.4,29.1,14.8,0.41
SSSJ022800.3+241538,37.0013,24.2604,1991.761,60.3,-53.3,18.645,18.66,18.652,271.0,102.8,10.4,1.0,261.6,99.2,10.7,0.0
SSSJ022805.3+490822,37.022,49.1395,1986.995,21.8,-23.6,17.817,17.936,18.046,244.6,37.2,9.2,1.0,259.7,39.5,9.2,0.0
SSSJ022816.9-183449,37.0704,-18.5802,1987.974,48.2,50.9,19.679,18.934,18.998,142.1,47.2,13.4,1.0,143.2,47.6,13.5,0.0
SSSJ022822.2+045319,37.0924,4.8886,1990.22,-44.7,-38.8,19.881,18.966,18.601,92.5,25.9,14.4,0.61,97.3,27.3,14.4,0.39
SSSJ022822.5-451757,37.0938,-45.2993,1990.733,82.6,-7.8,18.803,18.396,18.2,126.6,49.8,12.9,1.0,126.3,49.7,12.9,0.0
SSSJ022838.2+262237,37.1591,26.3771,1991.761,142.5,-40.4,18.515,18.256,17.841,114.1,80.0,12.8,1.0,113.5,79.6,12.9,0.0
SSSJ022840.9-054510,37.1704,-5.7529,1985.123,48.9,38.1,17.609,17.616,17.584,162.8,47.8,10.5,1.0,156.4,45.9,10.8,0.0
SSSJ022841.0+364543,37.1707,36.7619,1986.911,1.9,-176.6,16.146,15.85,15.62,42.8,35.9,12.5,1.0,42.1,35.4,12.6,0.0
SSSJ022850.1+360307,37.2088,36.052,1986.911,146.1,-88.0,17.736,17.629,17.617,150.9,122.3,11.2,1.0,141.4,114.6,11.3,0.0
SSSJ022855.2-611257,37.2299,-61.216,1986.771,40.0,52.0,18.069,17.65,17.542,96.1,29.9,12.7,1.0,95.3,29.7,12.8,0.0
SSSJ022915.5-205028,37.3144,-20.841,1986.998,-5.4,-72.4,19.82,19.27,18.98,152.1,52.3,13.5,1.0,153.3,52.7,13.5,0.0
SSSJ022920.9+201053,37.3369,20.1815,1989.581,42.2,-23.4,18.506,18.481,18.593,264.4,60.5,10.2,1.0,257.4,58.9,10.5,0.0
SSSJ022951.3-361735,37.4639,-36.2931,1988.908,50.6,38.2,19.231,18.951,18.346,130.8,39.3,13.2,1.0,131.8,39.6,13.3,0.0
SSSJ023005.8+321440,37.5241,32.2444,1989.745,256.6,36.2,16.67,16.623,16.43,85.7,105.2,11.4,1.0,80.2,98.5,11.6,0.0
SSSJ023017.0-203151,37.5706,-20.5308,1987.688,1.1,-46.6,18.428,18.412,18.14,189.8,41.9,11.5,1.0,178.1,39.3,11.6,0.0
SSSJ023018.5-544043,37.5772,-54.6787,1993.962,95.5,47.2,18.417,17.97,17.683,92.1,46.7,13.2,1.0,92.5,46.9,13.2,0.0
SSSJ023020.9-344749,37.5869,-34.7971,1999.632,86.0,-105.2,19.956,18.654,18.093,49.2,31.7,15.4,0.45,62.7,40.4,15.0,0.55
SSSJ023026.2-323625,37.609,-32.607,1999.632,-68.1,-61.7,19.468,19.051,18.928,180.8,78.9,12.7,1.0,179.8,78.4,12.8,0.0
SSSJ023030.5-265230,37.6271,-26.875,1994.925,115.0,27.4,19.813,18.929,18.414,83.8,46.9,14.5,0.61,89.7,50.2,14.4,0.39
SSSJ023033.2+383432,37.6382,38.5756,1989.675,240.8,1.9,19.935,18.594,17.827,38.8,44.3,15.8,0.43,53.1,60.7,15.1,0.57
SSSJ023035.6+250833,37.6482,25.1424,1991.761,125.6,-27.4,19.438,18.803,18.492,112.6,68.9,13.7,1.0,113.5,69.4,13.8,0.0
SSSJ023039.3+183838,37.6637,18.6439,1989.986,14.3,-74.5,18.532,18.42,18.682,265.3,95.4,10.2,1.0,258.6,93.0,10.5,0.0
SSSJ023056.3+342654,37.7345,34.4484,1986.911,106.7,-28.9,18.25,18.094,17.968,160.3,83.6,11.7,1.0,149.8,78.1,11.9,0.0
SSSJ023058.1-210349,37.7423,-21.0635,1996.8,79.7,34.1,16.956,17.083,17.093,150.2,61.9,9.6,1.0,153.2,63.2,9.8,0.0
SSSJ023101.9-235818,37.7578,-23.9716,1994.925,-95.4,-89.3,19.209,18.564,18.342,106.4,66.0,13.6,1.0,107.3,66.6,13.7,0.0
SSSJ023103.1-793814,37.7627,-79.6372,1989.892,-78.3,-109.0,16.248,16.28,16.226,88.2,56.0,10.5,1.0,85.1,54.1,10.7,0.0
SSSJ023106.2-395040,37.7757,-39.8444,1993.96,-54.2,-71.6,17.614,17.207,17.025,74.1,31.6,12.8,1.0,73.9,31.5,12.9,0.0
SSSJ023107.6-525620,37.7818,-52.9389,1993.962,-57.5,-92.5,18.414,18.035,18.015,131.2,67.8,12.4,1.0,127.4,65.8,12.5,0.0
SSSJ023110.6-223458,37.7943,-22.5827,1994.925,96.1,-104.6,20.762,19.462,18.876,70.1,47.2,15.4,0.45,89.5,60.2,15.0,0.55
SSSJ023111.7+442525,37.7988,44.4236,1986.026,-48.6,-12.2,18.196,18.092,18.009,176.7,42.0,11.3,1.0,165.0,39.2,11.5,0.0
SSSJ023114.7+081027,37.8111,8.1741,1990.817,346.9,-337.6,18.051,17.473,17.272,69.4,159.2,13.4,1.0,70.0,160.5,13.4,0.0
SSSJ023118.8-735158,37.8281,-73.8662,1993.853,93.2,93.3,18.957,18.306,17.787,76.0,47.5,14.0,1.0,76.9,48.1,14.1,0.0
SSSJ023121.3+811703,37.8388,81.2843,1994.78,82.4,-21.2,17.096,17.158,17.395,180.4,72.7,9.0,1.0,194.1,78.2,9.0,0.0
SSSJ023131.5+152360,37.881,15.4,1987.183,-44.7,-18.3,18.249,17.851,18.126,156.4,35.8,11.7,1.0,144.5,33.1,11.9,0.0
SSSJ023134.9-252715,37.8954,-25.4541,1984.462,60.7,-12.9,19.07,18.798,18.516,163.9,48.2,12.6,1.0,162.2,47.7,12.7,0.0
SSSJ023139.4-221818,37.914,-22.3051,1989.537,-27.7,-71.7,16.84,16.703,16.842,108.4,39.5,10.8,1.0,102.5,37.3,11.0,0.0
SSSJ023144.2-410643,37.9342,-41.1118,1993.96,221.5,57.2,18.046,17.486,17.438,80.5,87.4,13.1,1.0,80.9,87.9,13.1,0.0
SSSJ023148.5+102618,37.9521,10.4383,1990.62,32.5,-31.9,18.503,18.508,18.819,333.2,71.9,9.1,1.0,355.8,76.8,9.2,0.0
SSSJ023155.7+175132,37.982,17.8589,1990.785,-179.2,-106.7,18.288,18.143,18.192,193.4,191.6,11.2,1.0,181.0,179.3,11.4,0.0
SSSJ023155.9-535753,37.9831,-53.9648,1993.962,90.1,-2.7,17.102,16.899,16.695,80.4,34.3,12.1,1.0,77.1,32.9,12.2,0.0
SSSJ023157.0+445726,37.9875,44.9573,1988.178,49.1,-0.8,16.437,16.675,16.73,154.8,36.0,8.4,1.0,166.9,38.8,7.9,0.0
SSSJ023159.2-381001,37.9968,-38.167,1993.96,210.2,147.7,18.873,18.277,18.121,102.1,124.3,13.4,1.0,103.1,125.5,13.4,0.0
SSSJ023201.0+064539,38.0043,6.7609,1990.108,69.2,6.2,18.365,18.26,18.284,207.6,68.4,11.0,1.0,195.3,64.3,11.2,0.0
SSSJ023207.6+271727,38.0316,27.2907,1990.038,57.8,-54.7,15.678,16.008,16.09,140.1,52.8,7.3,1.0,137.5,51.9,7.0,0.0
SSSJ023213.6+725636,38.0567,72.9434,1993.642,135.8,-93.7,20.57,19.023,18.192,39.2,30.6,16.5,0.33,56.9,44.5,15.4,0.67
SSSJ023214.0+344306,38.0583,34.7182,1985.638,-1.4,-75.2,17.115,16.972,16.661,80.1,28.6,12.1,1.0,76.9,27.4,12.2,0.0
SSSJ023226.5-363356,38.1103,-36.5656,1999.632,90.1,-52.7,19.417,19.15,18.833,186.9,92.1,12.6,1.0,185.7,91.6,12.7,0.0
SSSJ023237.9-141145,38.1578,-14.1958,1989.747,82.8,-723.5,16.249,15.215,14.774,14.0,48.4,14.7,0.57,15.5,53.6,14.6,0.43
SSSJ023238.0-371755,38.1583,-37.2986,1993.96,118.3,8.9,18.516,18.004,18.275,144.8,81.7,12.2,1.0,138.3,78.0,12.3,0.0
SSSJ023245.7+262857,38.1903,26.4825,1989.446,60.2,-34.7,18.092,18.111,18.252,241.0,79.4,9.8,1.0,239.9,79.0,10.0,0.0
SSSJ023247.4+152602,38.1975,15.4338,1986.757,22.5,-40.7,18.552,18.658,19.163,533.8,117.6,7.1,1.0,487.6,107.5,7.0,0.0
SSSJ023250.0-185840,38.2085,-18.9777,1989.142,45.1,59.7,17.767,17.744,17.882,194.2,68.9,10.1,1.0,189.2,67.1,10.4,0.0
SSSJ023305.4+334760,38.2726,33.7999,1986.911,239.7,67.0,20.381,18.95,18.65,61.1,72.1,15.3,0.39,76.1,89.8,14.9,0.61
SSSJ023328.5-275248,38.3688,-27.88,1994.927,97.8,138.4,18.924,18.398,17.917,89.9,72.4,13.7,1.0,90.3,72.8,13.7,0.0
SSSJ023336.9+174732,38.4036,17.7921,1989.578,8.1,-73.0,17.1,17.075,16.99,118.7,41.3,10.9,1.0,112.2,39.1,11.1,0.0
SSSJ023338.6-103827,38.4109,-10.6407,1993.022,-17.4,-47.9,17.526,17.21,17.154,93.8,22.6,12.2,1.0,90.4,21.8,12.3,0.0
SSSJ023338.9+212515,38.4123,21.4209,1990.785,65.5,-212.3,18.396,17.056,16.773,28.2,29.7,15.1,0.43,33.8,35.6,14.8,0.57
SSSJ023339.6+343324,38.4149,34.5566,1986.911,206.1,-39.1,16.363,16.361,16.267,86.2,85.8,10.8,1.0,81.8,81.4,11.1,0.0
SSSJ023344.1-270321,38.4337,-27.0558,1994.925,103.1,42.1,18.717,18.432,18.398,175.0,92.1,12.0,1.0,166.4,87.5,12.2,0.0
SSSJ023348.3-592117,38.4513,-59.3547,1987.258,36.6,56.1,17.679,17.415,17.245,98.0,31.1,12.3,1.0,95.0,30.1,12.4,0.0
SSSJ023349.1-071534,38.4546,-7.2594,1997.742,97.2,-142.9,14.381,14.747,14.658,66.7,54.7,7.9,1.0,70.9,58.1,7.3,0.0
SSSJ023407.7-051140,38.532,-5.1944,1997.742,251.2,96.6,14.02,13.915,13.849,26.2,33.4,11.3,1.0,24.4,31.2,11.5,0.0
SSSJ023413.0+180141,38.5543,18.028,1989.589,47.4,-55.6,17.587,17.732,17.855,235.1,81.4,8.9,1.0,253.8,87.9,8.8,0.0
SSSJ023427.7-045431,38.6155,-4.9085,1997.742,80.3,-30.4,16.095,16.029,15.997,73.8,30.1,11.0,1.0,69.6,28.4,11.2,0.0
SSSJ023434.1-533204,38.6421,-53.5344,1993.962,96.2,81.2,16.827,16.876,16.88,124.4,74.3,10.1,1.0,121.5,72.5,10.4,0.0
SSSJ023438.9+344711,38.662,34.7863,1986.911,123.1,-46.8,18.536,18.146,17.702,92.4,57.8,13.3,1.0,93.0,58.2,13.3,0.0
SSSJ023443.9-481829,38.6828,-48.308,1997.817,87.6,-26.6,17.06,16.744,16.945,98.4,42.9,11.5,1.0,90.7,39.6,11.7,0.0
SSSJ023449.4+240752,38.7056,24.1312,1991.761,-93.6,-144.2,19.157,18.521,17.795,72.5,59.1,14.2,1.0,74.7,60.9,14.2,0.0
SSSJ023504.9+423222,38.7704,42.5393,1989.675,2.0,-98.4,17.323,17.231,16.989,103.7,48.2,11.7,1.0,97.4,45.3,11.9,0.0
SSSJ023511.6-435100,38.7985,-43.85,1990.733,172.4,47.6,19.544,18.609,18.577,97.4,82.6,14.0,0.6,98.7,83.7,14.1,0.4
SSSJ023521.5-225119,38.8398,-22.8552,1994.925,131.8,-159.5,17.459,16.863,16.444,43.7,42.9,13.8,1.0,43.9,43.1,13.8,0.0
SSSJ023521.8-240044,38.841,-24.0122,1994.925,-102.0,-611.9,16.581,15.513,14.923,14.0,41.2,14.9,0.55,16.3,47.9,14.7,0.45
SSSJ023525.7-510438,38.857,-51.0773,1997.817,89.1,-25.4,17.702,17.386,17.199,89.0,39.2,12.5,1.0,87.6,38.6,12.6,0.0
SSSJ023543.0+005556,38.9292,0.9324,1984.469,55.5,34.3,18.429,18.032,17.877,112.3,34.7,12.7,1.0,111.6,34.5,12.8,0.0
SSSJ023607.9+033736,39.0331,3.6267,1990.034,26.4,-38.3,18.166,18.231,17.96,188.2,41.5,11.1,1.0,178.1,39.3,11.2,0.0
SSSJ023608.6+093928,39.0356,9.6577,1989.504,-37.9,-32.9,17.84,17.835,17.72,167.2,39.8,10.9,1.0,158.2,37.6,11.1,0.0
SSSJ023611.0+272248,39.0457,27.3799,1991.761,-35.7,-121.9,19.786,18.809,18.424,80.3,48.3,14.5,0.59,86.4,52.0,14.5,0.41
SSSJ023612.6-165531,39.0525,-16.9254,1986.798,-16.9,-75.3,17.295,17.156,17.372,140.8,51.5,10.5,1.0,134.5,49.2,10.8,0.0
SSSJ023631.6-493316,39.1317,-49.5545,1997.817,9.0,97.1,17.467,16.956,16.552,49.5,23.0,13.5,1.0,49.6,23.1,13.6,0.0
SSSJ023642.0+341545,39.175,34.2626,1985.877,-36.9,-31.6,18.686,18.683,18.582,251.1,57.9,10.8,1.0,237.8,54.8,11.1,0.0
SSSJ023649.4-254958,39.2059,-25.8327,1994.925,194.1,-111.9,19.791,18.252,17.66,30.0,31.9,16.3,0.34,45.5,48.3,15.2,0.66
SSSJ023701.2-500209,39.2552,-50.0358,1986.066,50.7,11.8,18.596,18.468,18.688,259.4,64.0,10.4,1.0,249.0,61.4,10.7,0.0
SSSJ023702.9-120958,39.262,-12.166,1993.853,-69.0,-51.3,17.402,17.023,16.961,79.1,32.3,12.5,1.0,77.3,31.5,12.6,0.0
SSSJ023721.7-514838,39.3404,-51.8106,1997.817,-7.8,-184.2,16.852,16.566,16.308,58.7,51.2,12.6,1.0,57.9,50.5,12.7,0.0
SSSJ023736.4-200834,39.4018,-20.1426,1988.595,46.2,48.0,17.332,17.498,17.587,209.9,66.2,8.8,1.0,226.4,71.5,8.8,0.0
SSSJ023741.9+370951,39.4246,37.1642,1986.911,110.3,15.7,18.499,18.564,18.393,238.9,125.7,10.7,1.0,228.0,120.0,10.9,0.0
SSSJ023744.1+345431,39.4337,34.9086,1984.827,-2.6,-45.8,19.244,18.807,18.709,161.6,35.1,12.8,1.0,160.7,34.9,12.8,0.0
SSSJ023757.4-485512,39.4892,-48.92,1997.817,99.6,-45.7,17.462,17.052,17.008,78.6,41.0,12.5,1.0,77.0,40.2,12.6,0.0
SSSJ023802.1+221113,39.5089,22.1869,1989.749,55.8,1.5,15.209,15.686,15.857,280.1,74.1,1.1,1.0,118.5,31.3,7.0,0.0
SSSJ023803.0-641759,39.5124,-64.2996,1996.867,120.4,71.2,17.606,17.478,17.371,126.9,84.2,11.5,1.0,118.2,78.4,11.7,0.0
SSSJ023805.3+390421,39.5219,39.0725,1988.414,-40.2,4.2,18.403,18.338,18.15,187.9,36.0,11.5,1.0,175.7,33.6,11.6,0.0
SSSJ023807.2-481424,39.5301,-48.2399,1987.63,41.9,27.7,17.903,17.658,17.76,147.1,35.0,11.5,1.0,136.1,32.4,11.7,0.0
SSSJ023816.4+075756,39.5685,7.9655,1990.736,39.8,-92.1,19.022,18.529,18.072,100.6,47.7,13.6,1.0,101.2,48.0,13.6,0.0
SSSJ023820.2-254330,39.5841,-25.725,1994.925,-25.0,-85.6,19.525,18.915,18.661,125.8,53.1,13.6,1.0,126.9,53.5,13.6,0.0
SSSJ023821.6+235824,39.5899,23.9734,1991.761,92.2,72.4,18.637,17.584,17.213,43.3,24.0,14.7,0.56,47.7,26.4,14.6,0.44
SSSJ023824.8-360224,39.6033,-36.0399,1985.365,60.4,15.7,18.131,18.411,18.631,469.9,139.0,7.0,1.0,425.7,126.0,7.0,0.0
SSSJ023841.6+280858,39.6733,28.1493,1990.795,51.0,-45.7,18.327,18.137,18.114,173.3,56.2,11.6,1.0,161.2,52.3,11.8,0.0
SSSJ023901.6-061806,39.7567,-6.3016,1997.742,164.8,-241.5,18.712,18.299,17.808,93.6,129.5,13.4,1.0,94.0,130.1,13.5,0.0
SSSJ023911.1-190631,39.7962,-19.1087,1996.8,-76.6,-52.8,17.289,17.273,17.37,151.4,66.7,10.2,1.0,147.3,64.9,10.5,0.0
SSSJ023912.8-473036,39.8034,-47.51,1985.049,43.1,30.5,19.033,18.76,18.651,191.4,48.0,12.2,1.0,184.4,46.2,12.3,0.0
SSSJ023919.5+260959,39.8313,26.1663,1991.761,316.9,-177.4,16.802,15.909,15.567,23.6,40.7,14.3,0.61,24.5,42.1,14.3,0.39
SSSJ023936.3-430658,39.9013,-43.116,1988.882,55.4,-2.0,16.746,16.788,17.043,151.5,39.8,9.1,1.0,161.6,42.4,9.1,0.0
SSSJ023959.3+441214,39.997,44.2039,1989.163,-32.2,-12.6,18.352,18.205,18.194,189.3,31.1,11.3,1.0,176.4,28.9,11.5,0.0
SSSJ024007.4-314406,40.0307,-31.735,1987.541,45.5,59.3,19.265,18.912,18.556,147.8,52.4,13.0,1.0,148.0,52.4,13.1,0.0
SSSJ024010.1-062303,40.0423,-6.3841,1983.651,49.4,-30.2,18.86,18.445,18.286,132.4,36.3,12.8,1.0,132.1,36.2,12.9,0.0
SSSJ024011.1+074315,40.0463,7.721,1989.924,57.8,43.9,18.473,18.213,18.077,147.4,50.8,12.2,1.0,142.1,48.9,12.3,0.0
SSSJ024022.7+391238,40.0945,39.2105,1989.675,29.1,-123.9,17.853,17.506,17.446,103.0,62.0,12.3,1.0,100.0,60.2,12.5,0.0
SSSJ024038.4-224308,40.1599,-22.7188,1994.925,196.4,-83.1,18.671,17.791,17.58,62.3,62.9,14.1,0.62,63.6,64.2,14.1,0.38
SSSJ024051.5-324838,40.2147,-32.8105,1993.806,121.1,91.9,17.519,17.286,17.199,104.6,75.4,11.9,1.0,99.0,71.3,12.1,0.0
SSSJ024058.4+233135,40.2435,23.5265,1989.268,42.9,32.1,19.265,18.982,18.598,160.3,40.7,12.8,1.0,159.9,40.6,12.9,0.0
SSSJ024100.1+753214,40.2503,75.5371,1993.642,94.4,-57.2,17.701,18.215,18.501,908.0,473.4,1.1,1.0,379.7,198.0,7.0,0.0
SSSJ024125.0-655153,40.354,-65.8648,1996.867,-15.7,-80.5,19.823,18.904,18.529,89.2,34.7,14.4,0.61,93.8,36.5,14.4,0.39
SSSJ024139.5-363815,40.4147,-36.6375,1993.806,129.1,-49.8,18.889,18.605,18.34,150.4,98.3,12.6,1.0,148.9,97.4,12.7,0.0
SSSJ024140.4-095841,40.4183,-9.9781,1993.853,74.3,39.7,17.261,16.813,16.78,68.1,27.1,12.6,1.0,67.3,26.8,12.8,0.0
SSSJ024142.6-543740,40.4275,-54.6277,1993.962,-61.3,-59.9,18.109,17.991,17.981,176.8,72.1,11.2,1.0,165.4,67.4,11.4,0.0
SSSJ024149.3+255346,40.4555,25.8961,1991.761,-49.9,-166.6,18.63,17.937,17.857,85.3,70.3,13.5,1.0,86.0,70.9,13.6,0.0
SSSJ024208.3+111236,40.5348,11.2099,1990.817,171.2,-280.2,16.243,16.119,15.935,63.6,98.9,11.7,1.0,59.6,92.7,11.9,0.0
SSSJ024232.2+143038,40.6343,14.5106,1990.861,116.3,-94.8,18.599,18.251,17.958,115.6,82.2,12.8,1.0,115.2,81.9,12.9,0.0
SSSJ024234.6+214417,40.6443,21.7381,1987.646,66.9,-15.3,19.434,18.559,18.328,87.4,28.4,14.1,0.62,89.2,29.0,14.2,0.38
SSSJ024235.3-820636,40.6469,-82.1101,1994.777,81.8,-47.4,16.61,16.468,16.318,75.1,33.8,11.7,1.0,70.2,31.6,11.9,0.0
SSSJ024235.6-191924,40.6485,-19.3233,1989.121,30.9,40.6,17.776,17.608,17.625,144.4,34.9,11.4,1.0,134.2,32.5,11.6,0.0
SSSJ024243.4-131319,40.6809,-13.2218,1989.747,99.1,-71.6,17.36,17.212,17.216,121.5,70.2,11.3,1.0,113.1,65.4,11.5,0.0
SSSJ024243.7-230435,40.6823,-23.0765,1994.925,6.8,-125.0,19.288,18.731,18.646,138.3,81.9,13.1,1.0,139.2,82.5,13.2,0.0
SSSJ024256.0-534006,40.7335,-53.6683,1987.747,52.5,23.4,17.164,17.197,17.511,191.2,52.1,8.9,1.0,207.6,56.6,8.8,0.0
SSSJ024307.0-100113,40.7791,-10.0202,1993.853,86.9,-8.7,16.615,16.976,17.215,339.4,139.9,4.9,1.0,223.7,92.3,7.0,0.0
SSSJ024315.7-251640,40.8154,-25.2777,1994.925,41.4,-91.1,20.17,19.559,18.898,126.1,59.8,14.1,1.0,128.7,61.0,14.1,0.0
SSSJ024315.7+011957,40.8154,1.3325,1984.634,66.9,-16.2,16.99,16.983,16.966,121.5,39.6,10.6,1.0,116.5,38.0,10.8,0.0
SSSJ024323.7-143956,40.8485,-14.6656,1989.747,20.7,-138.7,16.73,16.335,16.195,52.4,34.8,12.7,1.0,51.9,34.4,12.8,0.0
SSSJ024326.6-325129,40.861,-32.858,1985.979,46.0,48.9,18.69,18.353,18.405,172.2,54.8,12.0,1.0,163.1,51.9,12.2,0.0
SSSJ024340.8-443443,40.9201,-44.5787,1990.728,115.5,47.7,17.569,16.87,16.548,43.6,25.8,13.9,1.0,43.8,26.0,13.9,0.0
SSSJ024402.8-191155,41.0115,-19.1985,1989.048,45.6,51.0,17.966,17.751,17.723,140.4,45.5,11.7,1.0,131.1,42.5,11.9,0.0
SSSJ024407.0-543350,41.029,-54.564,1986.458,42.8,28.1,18.328,17.821,17.618,87.0,21.1,13.2,1.0,87.5,21.2,13.3,0.0
SSSJ024408.6-413414,41.0357,-41.5705,1993.96,79.2,13.9,17.82,17.91,17.992,225.8,85.6,9.5,1.0,230.9,87.5,9.7,0.0
SSSJ024449.1-002738,41.2047,-0.4605,1985.041,74.7,8.3,18.797,18.42,18.472,168.5,60.0,12.2,1.0,161.7,57.6,12.3,0.0
SSSJ024454.7+312147,41.2279,31.3631,1991.744,-65.6,-28.4,19.551,18.581,18.319,79.7,27.0,14.4,0.59,83.4,28.2,14.4,0.41
SSSJ024456.2-795442,41.234,-79.9116,1989.892,88.3,39.2,18.355,18.174,18.079,166.6,76.6,11.7,1.0,155.9,71.7,11.9,0.0
SSSJ024456.2-423228,41.2343,-42.5411,1985.945,22.7,51.8,18.159,18.358,18.282,272.8,73.1,9.4,1.0,282.7,75.7,9.5,0.0
SSSJ024459.2+423011,41.2467,42.5031,1989.753,84.7,53.7,17.863,18.166,18.277,373.6,177.1,7.4,1.0,374.7,177.6,7.0,0.0
SSSJ024505.1+711941,41.271,71.3282,1992.73,180.7,-103.6,18.516,17.231,16.86,30.1,29.7,15.1,0.46,36.1,35.6,14.8,0.54
SSSJ024527.6-603860,41.3649,-60.6499,1991.788,155.1,119.9,17.159,16.361,16.074,32.7,30.4,14.0,1.0,33.2,30.8,14.1,0.0
SSSJ024529.4-231222,41.3727,-23.2062,1994.925,99.7,-41.1,19.703,19.038,18.762,125.4,64.2,13.7,1.0,126.2,64.6,13.8,0.0
SSSJ024529.9+105617,41.3747,10.9381,1990.817,68.3,86.6,18.748,17.884,17.65,64.9,33.8,14.1,0.62,66.0,34.4,14.1,0.38
SSSJ024530.1+254542,41.3755,25.7618,1991.761,205.9,-172.4,17.743,17.639,17.473,132.7,169.2,11.6,1.0,123.9,157.9,11.8,0.0
SSSJ024530.1-462406,41.3755,-46.4017,1990.728,-35.2,-112.5,16.574,16.605,16.393,90.0,50.3,11.1,1.0,85.0,47.6,11.2,0.0
SSSJ024531.7-195134,41.3822,-19.8596,1997.661,560.7,46.2,18.887,17.252,16.848,15.3,40.9,17.1,0.28,30.3,80.9,15.2,0.72
SSSJ024554.7+393642,41.478,39.6118,1989.675,144.4,-15.4,16.505,16.423,16.281,79.1,54.4,11.4,1.0,73.8,50.7,11.6,0.0
SSSJ024559.6-502728,41.4984,-50.4577,1985.6,57.9,12.1,18.674,18.356,18.084,128.0,35.9,12.7,1.0,127.4,35.7,12.8,0.0
SSSJ024600.1-105058,41.5002,-10.8495,1992.957,16.7,-77.5,18.335,17.718,17.458,71.9,27.0,13.6,1.0,72.4,27.2,13.6,0.0
SSSJ024602.7+002539,41.5111,0.4276,1999.858,86.9,16.4,17.718,17.533,17.519,133.3,55.6,11.5,1.0,123.7,51.6,11.7,0.0
SSSJ024605.0-193532,41.5207,-19.5923,1997.661,101.6,-117.3,20.332,18.832,18.594,27.5,20.2,17.5,0.36,71.4,52.5,15.0,0.64
SSSJ024621.0-354233,41.5874,-35.7092,1993.806,57.9,-61.9,17.323,17.038,17.011,92.9,37.4,12.0,1.0,88.3,35.6,12.1,0.0
SSSJ024621.6-542542,41.5899,-54.4284,1993.962,32.1,127.9,19.065,18.123,17.843,65.4,40.9,14.3,0.6,68.2,42.7,14.3,0.4
SSSJ024629.6+423746,41.6232,42.6295,1987.946,35.4,-50.1,17.743,17.42,17.294,95.3,27.7,12.4,1.0,93.1,27.1,12.5,0.0
SSSJ024629.9+270841,41.6246,27.1448,1990.458,49.7,0.1,19.859,19.209,18.697,116.0,27.3,14.0,1.0,117.5,27.7,14.0,0.0
SSSJ024630.8-022722,41.6282,-2.4562,1997.742,228.3,-491.2,15.567,15.126,14.708,22.7,58.2,13.4,1.0,22.9,58.8,13.4,0.0
SSSJ024642.0+304658,41.675,30.7828,1991.4,27.3,-55.1,20.25,19.183,18.72,83.5,24.4,14.8,0.55,93.9,27.4,14.7,0.45
